nodalloads
1223 1 1 2
1224 1 1 2
1225 1 1 2
1226 1 1 2
1227 1 1 2
1228 1 1 2
1229 1 1 2
1230 1 1 2
1231 1 1 2
1234 1 1 2
1235 1 1 2
1236 1 1 2
1237 1 1 2
1238 1 1 2
1239 1 1 2
1240 1 1 2
1241 1 1 2
1242 1 1 2
1245 1 1 2
1246 1 1 2
1247 1 1 2
1248 1 1 2
1249 1 1 2
1250 1 1 2
1251 1 1 2
1252 1 1 2
1253 1 1 2
1256 1 1 2
1257 1 1 2
1258 1 1 2
1259 1 1 2
1260 1 1 2
1261 1 1 2
1262 1 1 2
1263 1 1 2
1264 1 1 2
1267 1 1 2
1268 1 1 2
1269 1 1 2
1270 1 1 2
1271 1 1 2
1272 1 1 2
1273 1 1 2
1274 1 1 2
1275 1 1 2
1278 1 1 2
1279 1 1 2
1280 1 1 2
1281 1 1 2
1282 1 1 2
1283 1 1 2
1284 1 1 2
1285 1 1 2
1286 1 1 2
1289 1 1 2
1290 1 1 2
1291 1 1 2
1292 1 1 2
1293 1 1 2
1294 1 1 2
1295 1 1 2
1296 1 1 2
1297 1 1 2
1300 1 1 2
1301 1 1 2
1302 1 1 2
1303 1 1 2
1304 1 1 2
1305 1 1 2
1306 1 1 2
1307 1 1 2
1308 1 1 2
1311 1 1 2
1312 1 1 2
1313 1 1 2
1314 1 1 2
1315 1 1 2
1316 1 1 2
1317 1 1 2
1318 1 1 2
1319 1 1 2
1320 1 1 3
1309 1 1 3
1298 1 1 3
1287 1 1 3
1276 1 1 3
1265 1 1 3
1254 1 1 3
1243 1 1 3
1232 1 1 3
1220 1 1 3
1219 1 1 3
1218 1 1 3
1217 1 1 3
1216 1 1 3
1215 1 1 3
1214 1 1 3
1213 1 1 3
1212 1 1 3
1222 1 1 3
1233 1 1 3
1244 1 1 3
1255 1 1 3
1266 1 1 3
1277 1 1 3
1288 1 1 3
1299 1 1 3
1310 1 1 3
1322 1 1 3
1323 1 1 3
1324 1 1 3
1325 1 1 3
1326 1 1 3
1327 1 1 3
1328 1 1 3
1329 1 1 3
1330 1 1 3
1331 1 1 4
1211 1 1 4
1321 1 1 5
1221 1 1 5
end nodalloads 
return  
 
 
 
 
 
 
